kritik dan saran,teks_bersih,klaster,top_keywords,sentimen,skor_sentimen,makna,skor_konstruktif
sarannya sebaiknya makanan yang disajikan seperti pelatihan sebelumnya,saran makan saji latih,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",positif,1,bermakna,2
agar membantu mengurangi penggunaan kantong plastik boleh di ganti dengan paper bag,bantu kurang guna kantong plastik ganti paper bag,0,"ganti, menu, buah ganti, kursi, menu ganti, buah, ganti ganti, ganti menu, he, isi",positif,1,bermakna,2
Semoga pelatihan selanjutnya ada snack wkwk,latih snack tertawa,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",positif,1,bermakna,0
Saran bagi yang berpuasa toling di tambahkan makanan pencuci mulut,puasa toling tambah makan cuci mulut,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",negatif,-1,bermakna,3
Saran ketika di adakan d bulan ramadhan usahakan bedakan penyajian makanan bagi yang berpuasa sehingga pada saat di makan untuk buka puasa smua lauknya masih bisa d komsumsi dengan baik krn beberapa lauk kmrn sama skli tidak dapat d komsumsi,adakan ramadhan usaha beda saji makan puasa makan buka puasa lauk komsumsi baik lauk kemarin skli tidak komsumsi,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",negatif,-3,bermakna,2
Kurang banyak porsinya,kurang porsi,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,1
minumannya kurang berasa hehe,minum kurang asa he,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-2,bermakna,1
Kurang banyak,kurang,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,tidak bermakna,1
"Sarannya selain mendapatkan makanan berat, semoga pelatihan-pelatihan selanjutnya dapat snack box juga",saran makan berat pelatihanpelatihan snack box,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",netral,0,bermakna,3
"Catering tahun lalu sangat baik, berbeda dengan sekarang",catering sangat baik beda,3,"sangat, sangat baik, baik, ajar, materi, ajar sangat, materi sangat, uji, latih, serta",negatif,-1,bermakna,0
Perlu ditingkatkan lagi variasi menunya,variasi menu,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
Tamabahkan makanan pencuci mulut,tamabahkan makan cuci mulut,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",negatif,-1,bermakna,0
"Kadang ada jenis lauk yang basi,saran kurangi makanan berkuah atau ada santannya",kadang jenis lauk basisaran kurang makan kuah santan,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",netral,0,bermakna,2
Waktu penyajian terlalu cepat dikarenakan orang puasa.🙏,saji cepat orang puasa,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
Saran tetap mmdengan makanan glory,mmdengan makan glory,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",netral,0,bermakna,0
Saya hanya ingin mengucapkan Terima atas hidangannya,hidang,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,1,tidak bermakna,0
Saran saya untuk menambahkan minuman kemasan botol,minum kemas botol,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,0
Nasinya agak keras,nasi keras,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,1,bermakna,0
"Makanannya cocok untuk santapan buka puasa, bisa tahan lama sampai buka puasa. Hanya saja dihari kedua ayamnya berkuah, mungkin untuk santapan buka puasa tidak makanan ini tidak cocok karena tidak tahan lama.",makan cocok santap buka puasa tahan buka puasa hari ayam kuah santap buka puasa tidak makan tidak cocok tidak tahan,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",negatif,-6,bermakna,5
Makanannya udah paling ok😇,makan,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",netral,0,tidak bermakna,0
Kurang buah-buahan,kurang buahbuahan,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
Kurangi penggunaan plastik,kurang guna plastik,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,1
"Maaf bnget, tpi lauk hari pertama dan kedua ada yg basi",maaf bnget lauk basi,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
rasa makanan yang disajikan terkadang ada yang memiki rasa yang kurang enak untuk dimakan,makan saji terkadang mik kurang enak makan,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",positif,1,bermakna,1
Kritik saya mungkin untuk nasinya lebih ditambah porsinya,nasi lebih tambah porsi,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,4,bermakna,2
Makanannya seharusnya lebih banyak 1 orang 3 dos,makan lebih orang dos,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",positif,1,bermakna,0
makanan diberikan pagi hari pelatihan jadi makanan yang di bawa pulang sudah dingin.,makan pagi latih makan bawa pulang dingin,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",netral,0,bermakna,1
Tumben kak tidak ada snack nya hehehhe,tumben tidak snack hehehhe,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-2,bermakna,1
terlalu cept dibagikan jadi makanan cepat dingin,cept bagi makan cepat dingin,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",netral,0,bermakna,0
Banyakin dikit hehe,banyakin dikit he,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,0
Mungkin untuk varian menu/lauk mungkin bisa lebih baik,varian menulauk lebih baik,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",positif,1,bermakna,0
pas buka puasa sup nya sudah mulai agak masam,pas buka puasa sup masam,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
Sebaiknya di uangkan daripada basi tgg buka puasa,uang basi tgg buka puasa,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-2,bermakna,1
Sekali kali rendang min hehehe🤭,kali rendang min hehehe,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
Mungkin lauk nya di bungkussin aja biar ngga terhamburkan saat di bawa,lauk bungkussin tidak hambur bawa,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-2,bermakna,1
Tambahin yang manis manis,tambahin manis manis,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
"Enak, tapi mohon maaf ada beberapa menu yang sudah nd bisa di makan",enak maaf menu nd makan,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",netral,0,bermakna,0
Makanannya disajikan sore hari bagi yang berpuasa,makan saji sore puasa,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",netral,0,bermakna,0
"saran saya ada baiknya menghindari masakan yg cepat basi seperti yang bersantan, karena mayoritas teman teman menyantap nya setelah berbuka puasa.",baik hindar masakan cepat basi santan mayoritas teman teman santap buka puasa,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
Lokasi pengambilan terlalu jauh,lokasi ambil,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,0
Sebaiknya menu makanan yang dipilih adalah makanan yang tidak ceoat basi,menu makan pilih makan tidak ceoat basi,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",negatif,-3,bermakna,3
Sayurnya kadang basi,sayur kadang basi,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,1
Rindu makanan vsga tahun lalu,rindu makan vsga,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",netral,0,bermakna,0
makanannya bervariasi sehingga porsi sangat cukup tapi sayurnya cepat basi,makan variasi porsi sangat sayur cepat basi,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",netral,0,bermakna,2
Yg pelatihan kali ini tidak ada kue dos nya minn wkwk,latih kali tidak kue dos minn tertawa,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,2
Saran untuk bulan ramadhan lauknya jangan yang cepat basi :),ramadhan lauk cepat basi,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
"Air gelasnya bisa diganti dengan botol yg kecil, nanggung kalo air gelas",air gelas ganti botol nanggung air gelas,0,"ganti, menu, buah ganti, kursi, menu ganti, buah, ganti ganti, ganti menu, he, isi",negatif,-2,bermakna,1
Beberapa kali isi makanan tidak dibungkus plastik kecil sehingga beberapa makanan tertumpah saat dijalan,kali isi makan tidak bungkus plastik makan tumpah jalan,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",negatif,-1,bermakna,2
Enak tapi kurang kue dos nya seperti pelatihan lainnya,enak kurang kue dos latih,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,0
Amaan,ama,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,tidak bermakna,0
sebaiknya makanan tidak cepat dibagikan,makan tidak cepat bagi,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",negatif,-1,bermakna,1
kurang takjil hehe,kurang takjil he,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
lebihh banyak lagi porsinya,lebihh porsi,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,1,bermakna,0
"Maaf banget kak, tpi lauk hari pertama dan kedua ada yang basi:)",maaf lauk basi,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
Kurang kue dos nya hehe,kurang kue dos he,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
Porsi kurang,porsi kurang,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,1
di pertahankan dan ditingkatkan,tahan,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,tidak bermakna,0
Ngaret terkait penutupan,lambat kait tutup,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,1,bermakna,1
kurang kuenyaaaa :(((,kurang kuenyaaaa,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
Sedikit kritik waktu hari pertama ayam nya agak basi sikit krn di campur sama santar jdi yg buka puasa itu ayamnya sudah agak basi sikit :),ayam basi sikit campur santar buka puasa ayam basi sikit,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-4,bermakna,3
Berkah,berkah,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,1,tidak bermakna,0
"Hari ke 4 disajikan ikan kak, banyak orng yang ngak suka ikan termasuk saya. :)",saji ikan orng ngak suka ikan,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,1,bermakna,1
Baiknya makanan yang tidak cepat basi,baik makan tidak cepat basi,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",negatif,-2,bermakna,1
Lebih bervariasi,lebih variasi,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,1,bermakna,0
Kadang ada makanan yang basi,kadang makan basi,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",netral,0,bermakna,1
"Makanan sebenarnya sudah bagus, akan tetapi karena kita berpuasa jdinya makanan sudah dingin",makan bagus puasa jdinya makan dingin,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",negatif,-1,bermakna,0
"Makanannya disajikan sebelum sore hari bagi yang berpuasa, jadi sebaiknya tidak menggunakan makanan berkuah",makan saji sore puasa tidak makan kuah,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",negatif,-1,bermakna,2
Makanannya belum tentu tahan untuk sampai berbuka,makan tahan buka,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",netral,0,bermakna,0
"Saya sebagai nonmuslim meski dibulan puasa, panitia sudah memberikan konsusmsi di jam makan siang dengan baik.. seterusnya semoga selalu seperti itu",nonmuslim bulan puasa panitia konsusmsi jam makan siang baik,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",negatif,-1,bermakna,0
"masih hambar, lain kali ganti catering",hambar kali ganti catering,0,"ganti, menu, buah ganti, kursi, menu ganti, buah, ganti ganti, ganti menu, he, isi",negatif,-1,bermakna,0
"mantapp, adakah pa'buka?",mantapp ada pabuka,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
Kurang kue dos nyaa kk,kurang kue dos nyaa kakak,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
"sebaiknya makanan lebih diperhatikan lagi, karena ada beberapa lauk yang sudah bau saat dibawa pulang kerumah dan dimakan pada saat berbuka puasa",makan lebih perhati lauk bau bawa pulang rumah makan buka puasa,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",netral,0,bermakna,1
Memancing untuk buka,pancing buka,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
Kadang makanannya basi kalau di makan waktu berbuka,kadang makan basi makan buka,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",netral,0,bermakna,1
Catering tahun lalu lebih baik,catering lebih baik,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",positif,1,bermakna,0
Nasi nya kalau bisa agak tambah dikit agar kenyang,nasi dikit kenyang,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,1,bermakna,0
Minuman dapat diberikan yang dalam kemasan botol,minum kemas botol,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,0
Sayur nya sudah basi saat buka,sayur basi buka,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
"Karena saya puasa, makanannya sudah dingin waktu saya santap",puasa makan dingin santap,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",negatif,-1,bermakna,0
Mohon maaf untuk makanannya rasanya kurang,maaf makan kurang,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",negatif,-1,bermakna,1
semoga kelayakan sayur ditingkatkan,layak sayur,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
Suka telat diinfokan soal makan siangnyabagi yang tidak puasa,suka lambat info makan siangnyabagi tidak puasa,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",negatif,-2,bermakna,3
"Makanannya kalau udah buka puasa sudah basi lauknya,mohon maaf sebelumnya 😭😭",makan buka puasa basi lauknyamohon maaf,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",negatif,-2,bermakna,2
Semoga sayurnya tidak cepat basi untuk kami yg berbuka puasa,sayur tidak cepat basi buka puasa,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-3,bermakna,3
"Karena kegiatan dilaksanakan di bulan puasa, sayurnya biasa basi ketika waktu berbuka.",giat laksana puasa sayur basi buka,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-2,bermakna,2
"Makanannya lumayan irit, porsinya dikit, semoga kedepannya dimaksimalkan lagi",makan hemat porsi dikit depan maksimal,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",positif,1,bermakna,1
"Terkait makanan yang disediakan, kalo soal rasa lumayanlah. Hanya sj di waktu penyajian makanannya itu saya terlalu cepat.. apalagi sekarang kan bulan ramadhan, jadi kalo makanan nya di simpan sampai magrib/buka, itu sayurnya sudah basi. Jadi saran dari saya, mungkin bisa di ganti saja menunya. Kalo pelatihannya di bulan ramadhan lagi, dan kalo masih dapat kesempatan untuk ikut. Hehehe",kait makan sedia lumayan saji makan cepat ramadhan makan simpan magribbuka sayur basi ganti menu latih ramadhan sempat hehehe,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",positif,1,bermakna,3
Kurang sayur kangkung,kurang sayur kangkung,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
hari pertama makanan basi:(,makan basi,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",negatif,-1,bermakna,1
Mungkin bisa ditambah cemilan,tambah cemilan,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,1,bermakna,2
untuk di pake berbuka makanannya sudah kurang enak baunya,pakai buka makan kurang enak bau,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",negatif,-2,bermakna,1
Kurang Snack,kurang snack,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
Kritik sedikit mungkin makanan terlalu cepat di ambil di ketring untuk yg sedang berpuasa jdi terkadang lauknya ada basi,makan cepat ambil ketring puasa terkadang lauk basi,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",negatif,-2,bermakna,2
"Terimakasih makanan nya, semoga ditambah kue perkuean",makan tambah kue kue,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",positif,1,bermakna,2
"Terimakasih untuk menu makanannya, tapi disarankan jika bulan ramadhan makanan nya jangan disajikan terlalu cepat🤗",menu makan saran ramadhan makan saji cepat,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",positif,1,bermakna,3
Untuk makanannya sudah mantul tapi nasinya kurang hehehe,makan mantul nasi kurang hehehe,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",netral,0,bermakna,1
Hari pertama ayamnya basi,ayam basi,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
Sejauh ini makanan di sajikan dengan baik,makan saji baik,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",positif,1,bermakna,0
suka ayam kremes nya,suka ayam kremes,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
Sayur nya cepat basi untuk kita yg buka puasa,sayur cepat basi buka puasa,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-2,bermakna,1
Tolong sediakan makanan yang tidak mudah basi,sedia makan tidak mudah basi,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",negatif,-1,bermakna,2
Kurang kuenya,kurang kue,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
Tidk seperti pelatihan sebelumnya,tidk latih,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",netral,0,bermakna,0
mungkin dipikirkan soal basi atau tidaknya makanan tersebut jika dibagikan pada saat mendekati berbuka,pikir basi tidak makan bagi dekat buka,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",negatif,-2,bermakna,3
"Mungkin ditingkatkan lagi soal penyajian makanannya, dari tahun ke tahun semakin menurun",saji makan turun,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",positif,1,bermakna,0
"Makanan yang di bawakan kepada kami dingin sehingga kurang nikmat untuk kami makan, memperhatikan kehangatan makanan yang akan kami konsumsi",makan bawa dingin kurang nikmat makan perhati hangat makan konsumsi,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",netral,0,bermakna,2
mngkin bisa dipertimbangkan tentang basi atau tidaknya karena dimakan saat sudah buka sedangkan disediakan saat siang,mngkin timbang basi tidak makan buka sedia siang,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",negatif,-1,bermakna,3
Sangat memuaskan semoga kedepannya bisa seperti ini lagi,sangat muas depan,3,"sangat, sangat baik, baik, ajar, materi, ajar sangat, materi sangat, uji, latih, serta",positif,1,bermakna,0
Kurang banyak,kurang,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,tidak bermakna,1
"Sekedar saran, seharusnya yang puasa itu didatangkn pada sore hari karena pada hari kedua ada didapatkan lauk basi pada saat buka puasa",dar puasa didatangkn sore dapat lauk basi buka puasa,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-3,bermakna,2
Nasinya agak keras,nasi keras,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,1,bermakna,0
-krupuk,krupuk,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,tidak bermakna,0
Makanan nya di tambah lgi,makan,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",netral,0,tidak bermakna,0
"kalau puasa mungkin boleh pilih makanan yang gak berkuah, soalnya hari pertama kari ayamnya udah basi",puasa pilih makan tidak kuah kari ayam basi,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",negatif,-4,bermakna,3
saran untuk batch selanjutnya lebih baik lagi,batch lebih baik,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",positif,1,bermakna,0
Hari pertama ayam yang di sajikan basi,ayam saji basi,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,1
saran saya makanan pembagiannya harap lebih diperhatikan lagi soal citarasanya🙏🏻🙏🏻,makan bagi harap lebih perhati citarasanya,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",positif,1,bermakna,1
Kotak nasi yang tidak kokoh,kotak nasi tidak kokoh,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
Mungkin makanan bisa dibagikan satu per satu oleh panitia krna sebagian peserta mengambil makanan lebih dari satu,makan bagi panitia krna serta ambil makan lebih,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",positif,2,bermakna,1
mungkin lebih sedikit di perhatikan yah,lebih perhati yah,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,1,bermakna,0
Sebaiknya makanan disediakan pada saat kegiatan akan selesai,makan sedia giat selesai,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",positif,1,bermakna,0
makanan terlalu cepat jadi,makan cepat,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",netral,0,bermakna,0
Makanan sudah lain rasanya karena di buat pagi/siang sedangkan di makannya saat buka atau malam terutama makanan basahnya,makan pagisiang makan buka malam makan basah,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",negatif,-1,bermakna,1
Makanannya sudah oke,makan,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",netral,0,tidak bermakna,0
"makanannya ada yang basi, pas hari pertama.",makan basi pas,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",netral,0,bermakna,1
Nasi yang di siapkan masih terasa agak keras,nasi siap keras,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,2,bermakna,0
"Mnurut saya. Makanannya d bagikan di dalam kelas masing"". Sma kantong plastiknya wrna hitam atau putih sja min✌🏻",mnurut makan bagi kelas kantong plastik wrna hitam putih sja min,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",negatif,-2,bermakna,1
"Pilh catering yg bagus seperti pada batch sebelumnya di Desember 2023, karena yg ini telurnya udah mau basi dan lauknya banyak yg kering",pilh catering bagus batch desember telur basi lauk kering,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-2,bermakna,1
Menghargai kami yg non muslim dan memberi kami makanan sesuai jam makan siang,harga non muslim makan sesuai jam makan siang,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",positif,3,bermakna,1
"Kadang basi untuk sayurnya, untuk dagingnya enaknya",kadang basi sayur daging enak,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
"Makanannya enak, hanya perlu ditambah lagi biar lebih nikmat",makan enak tambah lebih nikmat,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",positif,3,bermakna,1
Lain kali adakan kue nya juga kak😁😁,kali adakan kue,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
"Cukup untuk berbuka, saran nya mungkin adakan pencuci mulut untuk batalkan puasa, seperti kue kue kecil",buka adakan cuci mulut batal puasa kue kue,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-3,bermakna,1
lebih bagus kalo makanannya masih hangat saat akan di makan,lebih bagus makan hangat makan,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",positif,1,bermakna,0
"untuk kedepannya kemasan yang dipakai diperbaiki atau diganti ke yang lebih sehat dan higenis dengan dan waktu penyajiaanya sebaiknya dilakukan menjelang makan siang dan berbuka bagi umat muslim, dan tolong dihidangkan selagi hangat",depan kemas pakai ganti lebih sehat higenis penyajiaanya jelang makan siang buka umat muslim hidang selagi hangat,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",positif,4,bermakna,2
Kurang kue,kurang kue,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
Ada satu menu lauk basi ketika dikonsumsi karena ikut pelatihan sementara berpuasa,menu lauk basi konsumsi latih puasa,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-2,bermakna,2
Makanannya enak cuman kurang buahnya,makan enak cuma kurang buah,5,"makan, saji, enak, tidak, basi, makan enak, saji makan, siang, menu, bagi",negatif,-2,bermakna,0
Snakc nya udh ngak ada yah?,snakc ngak yah,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
