komentar bermakna,klaster,sentimen,makna
Air minumnya tambahin 2 gelas 🙏,7,negatif,bermakna
"sangat enak, dan sebaiknya untuk makanan berat nasinya di tambah agak banyak karna lauknya banyak tapi nasinya cuman kfc🙏🏻 dan sebaiknya lauknya tidak campur antara makanan laut dan makanan darat, sesuai dengan hadist yang berlaku. Terima kasih🙏🏻",5,positif,bermakna
untuk makanan yang diberikan selama pelatihan sudah sesuai standar,5,netral,bermakna
"Sebaiknya, penyajian makanannya menggunakan sistem prasmanan agar peserta bisa mengambil makanan sesuai selera dan tidak mubazir",5,positif,bermakna
banyak alergi ikan,7,negatif,bermakna
"Untuk konsumsi sudah sangat baik, variasi menu yang beragam setiap hari",3,positif,bermakna
"Mungkin minuman makan siangnya bisa lebih banyak, minimal 2 gelas air mineral.",5,negatif,bermakna
Prefer ke ayam sih,7,netral,bermakna
Makanannya sudah bagus tapi kadang kalau lauknya ikan terlalu amis,5,positif,bermakna
"Pemilihan menu makanan mungkin ikan yang tidak banyak tulangnya krn lumayan ribet makannya :""",5,negatif,bermakna
Kekurang air minum,7,negatif,bermakna
"Enak, smg ketemu lg dengan pie buah enak",7,positif,bermakna
air minum di tambah,7,negatif,bermakna
Makanannya baik teksturnya semoga bisa di tingkatkan waktu penyajian nya,5,positif,bermakna
Kurang pedas,7,negatif,bermakna
"kalau bisa lauknya cuman ayam, karena banyak dari teman-teman tidak makan ikan",5,negatif,bermakna
"Makanannya enak, sehat dan sangat bergizi, mungkin bisa ditingkatkan ketepatan waktu pemberian baik snack ataupun makan siang",5,netral,bermakna
"Tidak ada kritik, cuman saya sarankan untuk Snack nya tidak usah pakai air Club botol (bagi saya pribadi rasa airnya kurang cocok dengan selera saya), cukup yang cup saja",7,negatif,bermakna
Air minum tidak cukup karena cuma satu gelas (maaf),7,negatif,bermakna
"Semoga makanannya lebih sehat, dan bisa sesuai dengan para pelajar yang tidak bisa makan daging.",5,positif,bermakna
menurut saya makanan yang disajikan pada hari kamis sudah enak akan tetapi lauknya itu saya tidak bisa makan karena alergi seafood,5,negatif,bermakna
Makasih Tetap dipertahankan,7,positif,bermakna
Yang pertama itu laugnya terlalu manis,7,netral,bermakna
Konsep penyajian konsumsi bisa dipertahankan,7,positif,bermakna
"90% jossss enaknyaaaaaaa, tpi kurang ayamnya",7,negatif,bermakna
Untuk makanan nasi kotak ada yang penyok dan isinya terhambur,5,negatif,bermakna
"Terkadang makanan sudah dingin saat dimakan, mungkin bisa mengganti tempat makanan dengan yang bisa menahan suhu",5,positif,bermakna
Makanan sudah baik,5,netral,bermakna
"Menu dan penyajian makanan S
 Sudah baik",5,positif,bermakna
"Bagus untuk lauknya, alangkah baiknya kalau nasi nya ditambah lagi",7,positif,bermakna
"Menurut saya, perlu diadakan makanan yang sesuai dengan umumnya, seperti ayam atau telur. Karena ikan atau makanan laut bagi sebagian orang tidak cocok untuk santapan utama (bisa jadi alergi).",5,negatif,bermakna
untuk makanan sudah sangat baik dan layak dikomsumsi,3,netral,bermakna
mungkin lebih di sesuai in untuk snack agar tidak snack manis semua atau asin semua,7,positif,bermakna
Enak namun porsi nasi mungkin bisa di tambah,7,positif,bermakna
nasianya kurang banyak,7,negatif,bermakna
Kelengkapan tissue:),7,netral,bermakna
Saran saya untuk pelatihan kedepannya jangan Kebanyakan lauk ayam soalnya ada beberapa peserta yang tidak makan ayam,5,netral,bermakna
"Mungkin sebaiknya yang botol itu disiapkan untuk konsumsi makanan berat, dan yang gelas disiapkan untuk makanan ringan",5,positif,bermakna
Makanan disajikan semuanya nikmat,5,positif,bermakna
sarannya air mineral bisa di tambah,7,negatif,bermakna
Lumayan baik dan konsisten,1,netral,bermakna
Seharusnya air minum yang di sajikan pada makan siang di tukar pada air yang di sajikan saat sarapan,5,netral,bermakna
"sekali"" lauk nya ayam",7,netral,bermakna
Saran saya Seharusnya air minum yang disajikan pada makan siang ditukar pada air yang disajikan pada saat sarapan,5,netral,bermakna
Mungkin buah nya bisa diganti pada setiap menu,0,netral,bermakna
tidak ada tissue,7,negatif,bermakna
Buahnya di ganti jangan pisang terus,0,netral,bermakna
Untuk air mineralnya mungkin bisa di up ke yg kemasan 60ml,7,negatif,bermakna
Tolong cabe nya di pisah please,7,negatif,bermakna
Makanannya terlalu enak,5,netral,bermakna
"kalau bisa makanannya prasmanan saja, jangan kotakan",5,negatif,bermakna
"Makanan enak, kurang banyak. Tidak ada kopi",5,negatif,bermakna
Lauknya jangan ayam terus,7,netral,bermakna
Kami sangat senang dengan pilihan makanan yang disediakan. Terima kasih atas perhatian dalam menyajikan makanan yang baik untuk kami,5,positif,bermakna
Mungkin alangkah baikknya di sediakan Tissu,7,positif,bermakna
Sebaiknya kuenya yang seperti risol hehe,7,netral,bermakna
Alhamdulillah lancar,7,positif,bermakna
porsinya lebih di tingkatkan wkwkw :),7,positif,bermakna
Nasinya kurang untuk porsi saya hehe,7,positif,bermakna
Kurang porsi nasinya hehe,7,positif,bermakna
"Makanannya enak²,cuman kemarin pisangnya masih mentah')",5,netral,bermakna
Kurang banyak nasinya kak,7,netral,bermakna
Perlu di tambahkan nasinya,7,positif,bermakna
"Makanan sangat memuskan, saran sarapan cepat dibagikan",5,positif,bermakna
Semoga kedepannya bisa lebih enak,1,positif,bermakna
Nasi nya kurang,7,netral,bermakna
Setiap hari lauknya semkin brkurng nikmat,7,positif,bermakna
Agar kiranya ada juga makan sore,5,netral,bermakna
kurang panas makananya,7,negatif,bermakna
makanannya enak cuma agak dingin :),5,netral,bermakna
"- Makanan yang disajikan sudah nikmat, namun dapat diperbanyak variasi dan porsi sayur nya.",5,positif,bermakna
Semoga botol air nya lebih besar sedikit,7,netral,bermakna
Sayurnya di variasi kan,7,netral,bermakna
Makananua bagusnya tidak perlu daging sebagai lauk cukup ayam atau ikan . Dan nasi tolong dilebihkan sedikit.,7,positif,bermakna
Makanan yang diberikan berkualitas,5,positif,bermakna
Next ada Copy break,7,netral,bermakna
Kurang susu,7,negatif,bermakna
Saran saya buahnya jangan pisang terus,7,netral,bermakna
saran saya nasinya terlalu teras,7,positif,bermakna
saran saya nasinya lebih banyak,7,positif,bermakna
Saran saya nasinya jangan terlalu keras,7,positif,bermakna
Saran saya makanan nya ada yg kurang mateng,5,negatif,bermakna
Akan lebih menyenangkan jika disediakan minuman pendamping :),7,positif,bermakna
sebaiknya nasinya terlalu keras,7,positif,bermakna
Terkait dengan Sarana dan Prasarana Makanan sudah sangat baik,3,positif,bermakna
Saya tidak terlalu suka dengan lauk makanan laut,5,negatif,bermakna
Lebih di tingkatkan soal variasi makanan tang disajikan,5,positif,bermakna
Kalo bisa makan sore lagi dipersiapkan,5,positif,bermakna
Saran saya di sediakan sambel aja,7,netral,bermakna
Kurang sambal aja di makanan,5,negatif,bermakna
"makanannya ada yg lupa dikasih sendok waktu itu🙏untuk nasi ada yg terasa keras sedikit sehingga susah dikunyah, untuk rasa enak🙏",5,positif,bermakna
Hari Jumat Tanggal 6 gak dapat makan balik sholat Jum'at udah gak ada makanannya udah di ambil lagi 🥲,5,negatif,bermakna
Lebih di tingkatkan,7,positif,bermakna
Saran dari saya mungkin untuk makanan bisa lebih diperhatikan untuk rasa,5,positif,bermakna
Kurang minuman dlm ruangan,7,negatif,bermakna
Saya pernah satu hari tidak mendapatkan makanan dikarenakan sewaktu keluar untuk jumatan dinluar dan kembali untuk makan ternyata makanannya tidak ada padahal sewaktu pergi keluar ada makanan. Terima kasih,5,negatif,bermakna
"Karena kegiatan yang durasinya cukup lama, maka disarankan utk menyediakan kopi",7,positif,bermakna
"ngga ada soalnya sudahh enakk dan cocok dengan saya , tapi saran sya banyakin lauknya hehe",7,negatif,bermakna
Kotak makanan kurang besar,5,negatif,bermakna
Snack kurang kenyang,7,netral,bermakna
Menanyakan kepada peserta apakah memiliki alergi terhadap makanan tertentu,5,positif,bermakna
Nasi nya keras,7,positif,bermakna
"Makanannya enak sangat.. hari pertama aja tuh kak makanannya ayam dengan ikan, soalnya kata Gugel: Sebaiknya, ikan dan ayam tidak dikonsumsi bersamaan dalam satu kali makan. Hal ini karena konsumsi makanan darat dan laut secara bersamaan dapat menyebabkan gangguan pencernaan, seperti: Sakit perut, Mulas, Kembung, Naiknya asam lambung. 
 Makanya sampai dirumah bolak balik kamar mandi kak 😭✨✨🙏🏽, canda, terbaik deh pokoknya..",5,negatif,bermakna
Baiknya jika ada snak pagi di bagikan dahulu sebelum makan siang,5,netral,bermakna
Perlunya penambahan snack atau minuman yang berkafein dan air mineral,7,negatif,bermakna
Lauknya kurang banyak dan menarik,7,netral,bermakna
Pembagian snack tdk tepat waktu,7,negatif,bermakna
Manurut saya rasa dan lauknya beefariasi tetapi untuk sendoknya agak susah untuk membelah lauknya mohon untuk sendo sedikit kuat,7,negatif,bermakna
untuk bapak pengajarnyaa Semangatt ki bapak,7,netral,bermakna
setiap kelas di mulai di harapkan pengajar mengamati 🙏,7,netral,bermakna
Pengajar sudah sangat kompleks membagikan dan menjelaskan materi,3,netral,bermakna
Penyampaian materi yang sangat mudah untuk dimengerti,8,netral,bermakna
Sarannya agar pemateri memberi langsung praktik. Ke layar monitor,7,positif,bermakna
cara menyampaikan materi sangat rinci dan jelas,3,netral,bermakna
"Pemateri sangat humble dan mudah dipahami, semoga pelatihan selanjutnya tetap menjadi pemateri",8,netral,bermakna
Materinya di perbanyak,1,netral,bermakna
Perbanyak penjelasan,7,netral,bermakna
asesor ku terlalu ramahh jadinya ndd ji kak,7,netral,bermakna
Kualitas pengajarnya udah sangat bagus dan mudah di mengerti saat memberi materi,3,positif,bermakna
Saran: mungkin pengajar lebih baik penggunakan pengeras suara (mic) karena terkadang suara nya tidak terdengar,1,positif,bermakna
Untuk penyampaian materi mungkin bisa menggunakan mic krna kami yg jauh dri pemateri kurang mendengar,1,netral,bermakna
ada beberapa materi yang tidak dijelaskan dengan menyeluruh seperti pembuatan kop surat,1,netral,bermakna
Sangat bagus cara mengajarnya dan senang bisa di ajar sama bapak,3,netral,bermakna
Cuman bagus pak pake maic supaya lebih besar suaranya,7,netral,bermakna
mungkin untuk kedepannya pengajarnya bisa berganti ganti setiap pertemuaan,0,negatif,bermakna
"Sudah sangat baik,, untuk kedepannya lebih di tingkatkan lagi dalam penyampaian materi",1,positif,bermakna
Materinya mudah untuk dipahami,8,netral,bermakna
Pengajar baik dalam menyampaikan materi hanya saja waktunya yang kurang,1,negatif,bermakna
semoga kedepannya lebih baik,1,positif,bermakna
"Sangat jelas kk, dan juga Jelas memberikan arahan sarannya ketika mengajar jangan lupa mengejek apakah semua bisa mempraktekan apanya di ajar karna kebanyakan orang itu malu untuk jujur kalau dia binggung.",7,negatif,bermakna
cara menjelaskan materinya terlalu cepat sehingga saya kurang mengerti🙏,1,negatif,bermakna
Materi yang telah disampaikan pengajar mudah dipahami,8,netral,bermakna
Banyak sekali hal baru yang telah saya dapatkan di pelatihan ini,4,netral,bermakna
Baiknya diberi sesi quiz,1,netral,bermakna
Kurang waktu lebih sehingga beberapa materi terlewatkan,1,netral,bermakna
"Materi yang diajarkan sangat masuk di akal, Untuk saya yang Pemula",3,negatif,bermakna
Penyampaian materi jelas dan padat,1,netral,bermakna
Batas waktu Pengumpulan tugasnya mungkin bisa di tambah,7,negatif,bermakna
"mungkin beberapa materi yang sekiranya umum atau sebagian orang sudah tahu, mungkin dapat dijelaskan kembali dan tidak di skip. Karena peserta kegiatan OKM ini ada yang mungkin sudah tahu namun ada juga yang mungkin belum tahu materi tersebut. Selebihnya sudah sangat bagus. Terimakasih",1,positif,bermakna
"Materi sesuai tema, metode yg digunakan efektif dan bisa dipahami bagi semua kalangan khususnya yg masih pemula",1,netral,bermakna
penjelasan pengajar sangat mudah di pahami,8,netral,bermakna
Ada beberapa Materi yang belum diajarkan yang ada di tugas Classroom.,1,negatif,bermakna
bapak pengajar sangat baik menympaikan materinya mudah dipahami semoga next time bisa ikut lagi dan pematerinya seperti pameteri yang inj,8,netral,bermakna
"Alhamdulillah, senang bertemu dengan pengajar, dan penguji yang super duper the best!! Pokoknya.. insyaallah jika ada waktu saya ingin mengikuti lagi kegiatan yang dibuat oleh kominfo",7,positif,bermakna
Pengajarnya menjelaskan dengan rapi sehingga bisa dipahami,7,netral,bermakna
Lebih meningkatkan materi,1,positif,bermakna
Semoga lebih baik lagi ke depannya,1,positif,bermakna
"Pengajar kurang seru, banyak saya dengar teman yg mengantuk.",7,negatif,bermakna
Tambahkan prakteknya langsung,7,positif,bermakna
"Kalau mau mendemokan aplikasi mungkin bisa pakai magnifier windows,,biar yg blkg kliatan",7,negatif,bermakna
pengajar sedikit buru buru dalam praktek sehingga ada tahap yg sering kulewati,7,netral,bermakna
Mudah dipahami,8,netral,bermakna
"tolong ketika membawakan materi, jangan terlalu cepat. karena kami yang ketinggalan juga butuh pemahaman",1,negatif,bermakna
Semoga jdg berikutnya lebih baik,1,positif,bermakna
Diberikan materi yang lebih banyak lagi tentang desain,1,positif,bermakna
"di pertahankan , bertambah semangat dan di tingkatkan",7,positif,bermakna
Mungkin kedepannya bisa menggunakan materi yang akan mengarah ke uji kompetensi langsung,2,positif,bermakna
"Penyampaian materi mudah dipahami walaupun cara menjelaskannya sangat cepat, mungkin karena materi yang sangat banyak dan harus diselesaikan semuanya",8,netral,bermakna
Pengajar yang oke dan mudah di pahami,8,netral,bermakna
Waktu pembelajaran hari dimulai sesuai jadwal waktu yang telah dibuat,7,positif,bermakna
Cara pemberian materinya mudah dipahami,8,netral,bermakna
"sudah bagus tapi materinya sama dengan yg sebelumnya, harusnya dikasi praktek dengan contoh nyata skarang ini",7,negatif,bermakna
"Terima kasih untuk mentor kak Herman, semoga kedepannya bisa terus mempertahankan kualitas mengajar dan komunikasi terhadap peserta pelatihan. Mantap, Kak!",7,positif,bermakna
Khusus jna-b baiknya materi dasar disampaikan secara baik dan berulang.,1,netral,bermakna
Saran saya pengajar memperhatikan seluruh peserta,7,positif,bermakna
Cara mengajarnya sangat mudah untuk di pahami akan tetapi ada beberapa hal seperti pada saat melakukan praktek instruksi nya terlalu cepat.,8,negatif,bermakna
Untuk kedepannya diharapkan bisa memaksimalkan bagian praktek dan Terima kasih bapak Ridwan Kambau selaku pengajar di kelas D,7,netral,bermakna
Agar dapat ditingkatkan menjadi lebih baik lagi,1,positif,bermakna
Penyimpanan materi dan pengenalan tools belum maksimal,7,netral,bermakna
"Sebelumnya Terima kasih kepada bapak Ridwan Kambau🙏🏻
 Teorinya mungkin bisa lebih singkat dan banyakin praktek, soalnya lumayan banyak yang ngatuk kalau dengar teori berjam² jadinya jenuh dan gk maksimal🙏🏻",7,positif,bermakna
Untuk kedepannya boleh diperbanyak prakteknya daripada teori,7,netral,bermakna
Semoga pemateri selanjutnya akan lebih baik lagii,1,netral,bermakna
metode pengajaran agar perlu untuk ditingkatkan,1,negatif,bermakna
"Lebih banyak intreaktif antar audience, contoh tanya jawab, agar audience ndak merasa bosan, dan yg kedua kalau bisa melawak di dalam kelas agar situasi dalam kelas enak dan nyaman, ketiga banyaki ice breaking, ke empat seharusnya banyak praktek dari pada teori, karena kalau soal teori semua orang bisa membaca jadi pemateri tidak perlu membaca ulang materinya.",7,negatif,bermakna
pemateri harus mempertahankan cara mengajarnya,1,netral,bermakna
Jelas dan mudah dipahami,8,netral,bermakna
penyampaian materi pas hari ketiga terlalu cepat😁,1,positif,bermakna
Lebih berinteraksi,7,positif,bermakna
Cara mengajar yang bagus dan mudah di mengerti hanya agak kecepatan sedikit,7,netral,bermakna
Masih banyak fitur yang belum dijelaskan tidak sesuai dengan ujiannya,2,positif,bermakna
Tidak jelas dalam penyampaian,7,negatif,bermakna
Metode pembelajarannya sebaiknya diselingi dengan ice breaking atau hal2 yang bisa membuat pembelajaran menjadi lebih menarik dan tidak membosankan.,1,netral,bermakna
cara penyampaian materi mudah dipahami tapi sangat cepat mungkin karena materi yang dijelaskan sangat banyak dan harus diselesaikan,8,netral,bermakna
"Sangat bersyukur bisa diajar oleh pak Ridwan, mengedepankan ketepatan waktu dan penyampaiannya yang lugas",3,positif,bermakna
Lebihh seru lagi biar tidak mengantuk,7,negatif,bermakna
Semoga pemateri kedepannya menjelaskan dengan cara yang menarik agar peserta tidak merasa jenuh dan mengantuk,1,netral,bermakna
ngaret penutupan,7,netral,bermakna
Kelass memang authornya abangkuh,7,netral,bermakna
Mudah dipahami,8,netral,bermakna
Pertahankan cara mengajar nya,7,netral,bermakna
"Saran saya pengajarnya tolong yg memiliki latar belakang yang sama, bukan hanya sekedar ""Tau"".",7,positif,bermakna
Baiknya materi bersambung dengan tes yang akan diujikan,2,netral,bermakna
Pengajar yang jelas dan mudah di pahami,8,netral,bermakna
pelan pelan ngajarnya,7,netral,bermakna
Pengajar mungkin bisa lebih santai dan selalu menunggu saat melakukan percobaan,1,positif,bermakna
Pengajarnya seru,7,netral,bermakna
Dasar pelatihan lebih di sampaikan secara rinci dan berulang.,4,positif,bermakna
"tolong pak, ketika membawakan materi jangan terlalu cepat. kami juga butuh interaksi bapak dengan peserta, dan juga tolong memperbanyak prakterk dibanding teori",1,netral,bermakna
Agar dapat tingkatkan menjadi lebih baik lagi,1,positif,bermakna
Kurang bisa memberi penyelesaian lebih cepat,7,netral,bermakna
Pengajar bisa menguasai materi yang disampaikan,1,positif,bermakna
Mudah dipahami,8,netral,bermakna
Semoga di tingkatkan lebih lanjut,7,positif,bermakna
"Cara pembawaannya kurang, sehingga membuat suasana jadi ngantuk, semoga kedepannya lebih baik lagi, lebih menekankan peserta untuk praktek agar tidak ngantuk",1,netral,bermakna
"Terkait materi yang diberikan itu saya rasa ada yg kurang materinya, terkait materi tentang komunikasi. Waktu ujikom, ada keluar pertanyaan tentang komunikasi dalam dunia desain grafis. Itu saja sih.",1,positif,bermakna
"Pengajar sangat baik dan ramah,, proses belajar mengajar tidak terlalu tegang, asyikk dan mudah dipahami",3,positif,bermakna
Pengajar sebaiknya lebih mendalami materi terlebih dahulu sebelum diajarkan,1,positif,bermakna
Lebih perdalam materi,1,positif,bermakna
menurut saya cara penyampaian materinya sudah baik dan bisa di pahami,1,netral,bermakna
Pengajar mempunyai cara tersendiri untuk penyampaian materi,1,negatif,bermakna
"Pengajar menyampaikan materi dengan baik, namun untuk saya agak terlalu cepat cara penyampaian materinya.🙏",1,netral,bermakna
Pengajar cenderung hanya menjelaskan materi sehingga kurangnya interaksi antara pengajar dan peserta,1,negatif,bermakna
mungkin pada saat penyampaian materi jngn terlalu cepat untuk berpindah materi selanjutnya,1,netral,bermakna
"Masih kurang praktek, perbanyak praktek dari pada teori",7,negatif,bermakna
Lebih diperjelas lagi cara mengajarnya,1,positif,bermakna
terlalu cepat dalam menyampaikan materi,1,netral,bermakna
mohon dipertahankan cara mengajarnya,7,netral,bermakna
Pematerinya sangan mudah di mengerti,7,netral,bermakna
Saran pengajar nya keliling untuk memastikan peserta tersebut sdh paham atau belum,1,positif,bermakna
saran untuk batch selanjutnya lebih baik lagi,1,positif,bermakna
"Tetap jadi pengajar yang ramah yah kak ,dan lain kali jangan terlalu cepat dalam menjelaskan",7,netral,bermakna
Bicaranya jgn terlalu cepat,7,netral,bermakna
saran untuk pemateri lebih detail lagi dalam mengecek peserta apakah sudah paham betul dengan tugas” yang dikerjakan,1,positif,bermakna
Membuat suasana proses belajar mengajar lebih aktif supaya tercipta umpan balik,1,positif,bermakna
Penyampaian materi dan pemahaman tools kurang jelas,1,negatif,bermakna
Kurang bagus dalam tata cara pengajarannya,7,negatif,bermakna
Saya puas dengan cara mengajar pengajar di kelas JGD-B. Kedepannya saya harap pengajar bisa konsisten dalam menggunakan metode mengajarnya. Terima kasih,1,negatif,bermakna
"Baik dan tegas, materinya perlu ditambah lagi biar dapat menambah ilmu baru",1,positif,bermakna
mohon lebih interaktif,7,positif,bermakna
mudah dimengerti,8,netral,bermakna
Asik dan hambel,7,positif,bermakna
Cara menyampaikan materi mudah dipahami,8,netral,bermakna
mudah dimengerti,8,netral,bermakna
Pengajarnya agar bisa di perlambat sedikit krn kurang paham tergadap materinya,1,netral,bermakna
"cara mengajar dan materi yang diberikan sangat baik, saran untuk sepanjutnya mungkin ketika mengajar berada ditengah² peserta lebih baik agar semua peserta mendengar dengan baik intruksi pengajar",3,positif,bermakna
"Suka banget sama mengajarnya pak Akbar, gak ngebosanin juga. Cara bawain materi yg interaktif bikin peserta lebih excited buat tau lebih banyak. Makasih pak Akbar, sippp wopyuuu 👍🥰",1,positif,bermakna
Kurang panjang pelatihannya,4,negatif,bermakna
"Cara ngajar zigzag, belum selsai sub bahasan langsung pindah materi lagi, penjelasan kurang mudah di pahami, ppt nya text, tidak terlalu menarik",8,positif,bermakna
"Pematerinya disipilin dan ramah, namun lebih baik apabila pameri bisa menyisipkan sedikit candaan dan lebih sering mengajak peserta berinteraksi",1,positif,bermakna
Baik dari segi penyampaian materi,1,negatif,bermakna
Mudah di mengerti dan di pahami,8,netral,bermakna
Pengajar terlalu cepat dalam memberikan materi dan materi yang disampaikan kurang jelas atau cara penyampaian kurang baik,1,negatif,bermakna
"Pengajar yg menyampaikan materi sangat sopan , intonasi suara yg pelan dan jelas , dan sabar menunggu kami yg datang telat",3,positif,bermakna
bagusnya tidak terlalu cepat menjelaskan,7,negatif,bermakna
"Tentor atau pengajarnya baik dan ramah, suaranya aja di tambahin volumenya dikit",7,negatif,bermakna
Butuh asisten pengajar supaya pengajar tidak terlalu sering bolak balik :),7,negatif,bermakna
Penyampaian materi mudah di pahami,8,netral,bermakna
Disediakan perangkat untuk melakukan praktek langsung,7,positif,bermakna
pemateri menjelaskan dengan baik,1,netral,bermakna
Pengajar menyampaikan materi dengan baik,1,netral,bermakna
Penjelasan sangat jelas dan mudah dipahami,8,netral,bermakna
pengajar lebih detail mengenai pemrograman web begitu pula sintax nya,1,positif,bermakna
Saya rasa perlu di tingkatkan lagi metodr pengajaran yang tidak membosankan seperti adanya games dalam pembelajaran agar peserta lebih semangat lagi menerima materi dan tidak mengantuk,1,positif,bermakna
"Pengajarnya baik,dan gampang di mengerti penjelasannya",7,netral,bermakna
bikin ngntuk kadang,7,positif,bermakna
"mungkin bisa lebih tepat waktu lagi, tapi sistem pengajaran nya sangat baik, mudah di pahami dan ramah buat kami semua",8,netral,bermakna
Pengajar membawakan materi dengan sangat mudah dipahami,8,netral,bermakna
Cara menjelaskannya mudah di pahami!,8,netral,bermakna
Untuk kedepannya agar memberikan materi yang tepat atau secara spesific terkait materinya yg akan di ujiankan,1,positif,bermakna
Pemberian materinya samgat mudah di pahami,8,netral,bermakna
Saya harap pelatihan selanjutnya bisa lebih tepat waktu lagi,4,positif,bermakna
Metode mengajarnya bagus di tingkatkan lagi dari sebelumnya supaya peserta lebih cepat memahami materinya,1,positif,bermakna
Semangattt kak Fadli,7,netral,bermakna
Mungkin bisa proses pengajaran kelompok agar kami bisa sharing bersama dan bisa lebih kenal lagi dengan teman kelas,7,positif,bermakna
"Untuk instrukturnya sendiri sdh sangat bagus dalam mengajar, hanya saja untuk pembawaan materi nya terlalu dipadatkan dan materi agak lambat di share di grub atau pun LMS digitalent",1,positif,bermakna
Pengajar sudah memberikan ilmu yang bermanfaat,7,positif,bermakna
Lebih mempersiapkan metode mengajar sebelum masuk,1,negatif,bermakna
"Pengajar membawakan materi dengan sangat baik dan berdiskusi dengan terbuka, saya juga bisa melakukan simulasi secara langsung.",3,positif,bermakna
Cara mengajar dosen nya sangat mudah di mengerti,8,netral,bermakna
"Menurut saya pemateri sudah sangat baik dalam membawakan materi, mendemokan cara penggunannya",3,negatif,bermakna
pengajar memberikan penyampaian meteri dengan sangat baik serta berkomunikasi dengan kami dengan sangat baik,3,netral,bermakna
Pengajar kurang dalam menyampaikan materi,1,negatif,bermakna
Teori lebih makan banyak waktu daripada prakteknya,5,positif,bermakna
"menurut saya, pemateri di kelas JNA B sangat interaktif kepada kami, maulai membantu dan menyampaikan solusi, dan menyelesaikan masalah pada topologi dan memperjelas suatu materi sehingga saya sangat paham.",3,netral,bermakna
Lebih bersemwngat lagi adakan banyak games,7,positif,bermakna
Mudah dipahami,8,netral,bermakna
Ilmunya dusampaikan dengan sangat baik dan mudah dipahami,8,positif,bermakna
Terlalu cepat dalam menyampaikan materi sehingga terkesan terburu-buru,1,positif,bermakna
Pemateri lebih aktif dalam berkomunikasi dengan peserta karena terkadang masih ada peserta yang kurang mengerti ditengah penjelasan,1,positif,bermakna
"Pengajar pada pelatihan menyampaikan materi dengan baik, terdapat beberapa cara konfigurasi jaringan yang dijelaskan sehingga saya mengerti banyak cara konfigurasi jaringan pada Cisco packet traser.",1,positif,bermakna
saran saya yaitu dalam penyampaian materi harus lebih banyak praktik saat ada contoh yang di sampaikan,1,positif,bermakna
Pengajar sering terlambat atau tidak tepat waktu,7,netral,bermakna
Pengajar dalam menyampaikan materi mudah di pahami,8,netral,bermakna
"Pengajaran yang diberikan selama mengajar sangat bagus, cara menyampaikan materi juga menarik hanya saja pemateri terkadang terlalu cepat untuk menjelaskan dalam melakukan praktik.",1,positif,bermakna
pertahankan kualitas pemateri,7,positif,bermakna
Semoga kedepannya lebih dari sekarang,1,positif,bermakna
Pengajar menyampaikan materi dengan baik,1,netral,bermakna
Materi yang dipadatkan dalam waktu 3 hari sebaiknya dapat lebih dimaksimalkan jika waktunya ditambah sehari/2 hari lagi agar materi dan praktek yang diberikan dapat lebih maksimal,1,positif,bermakna
"alangkah baiknya pada saat pemaparan materi
 tidak terlalu cepat",1,negatif,bermakna
Materi yang sangat bermanfaat namun waktu yang terlalu mepet,3,netral,bermakna
"Secara keseluruhan, materi ajar & cara pengajar menyampaikan materi cukup bagus & komunikatif. Hanya saja, dari segi waktu, pengajar sering telat masuk.",1,negatif,bermakna
alhamdulillah lumayan bagus. tetap tingkatkan kualitas mengajar dan akan lebih baik lagi kedepannya,1,positif,bermakna
"Kak Fadli you well done given your best, Thanks a lot 🙏🙏 Saran aja lain kali kalau lagi nulis rumus, di zoom lagi layar proyektor nya yah kak kasihan kami yang rabun jauh dan duduknya paling belakang 🫠😭",7,netral,bermakna
penjelasan pengajar mudah untuk dipahami,8,netral,bermakna
Tetap semangat dalam mengajar pak,7,netral,bermakna
Proses penyampaian materi yang cepat dan menggunakan istilah-istilah sulit.,1,positif,bermakna
"Mudah dipahami terkait materi,pembelajaran yang interakrif",8,positif,bermakna
pematerinya mudah di cerna,7,negatif,bermakna
Sebaiknya jika menjelaskan sesuatu pelatih tidak terlalu cepat dalam berbicara,4,negatif,bermakna
mohon untuk tidak terlalu terburu buru dalam menjelaskan,7,negatif,bermakna
"Ada beberapa topik yang tidak diajarkan dan ditanyakan pada sesi assessment, kemampuan/kesempatan berinteraksi, berdiskusi atau mengolah informasi dari peserta bisa ditingkatkan terkhusus kendala dalam pelatihan.",7,netral,bermakna
semoga diberikan kemudahan dalam segala urusan serta diberikan rezeki yang berkah dan melimpah🤲🏻,7,positif,bermakna
Pengajar menyampaikan materi dengan sangat baik,3,netral,bermakna
"Pengajar harusnya lebih menguasai materi, bukan hanya sekedar membaca powerpoint yang di tampilkan di layar monitor",1,positif,bermakna
Penyampaian materinya di permantap,1,positif,bermakna
Pengajar sangat baik dan kompeten menjelaskan materi jaringan,3,positif,bermakna
"Saya salut dengan pembawaan pemateri dari pak Herman, bagi saya cara penyampaiannya mudah sy tangkap/saya pahami",8,netral,bermakna
Penyampaian materinya mudah di mengerti,8,netral,bermakna
Mungki pelatihan yang diadakan bisa menggunakan alat pada saat praktikumnya bukan hanya simulasi,4,netral,bermakna
Cara penyampaian materi masih cukup susah di mengerti,1,negatif,bermakna
Mengulang atau memperjelas lagi materi dan memastikan bahwa peserta sudah mengerti dengan materi yg dibawakan,1,positif,bermakna
